images,texts,pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cue.started,Cue.stopped,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,button_1.started,button_1.stopped,button_1.numClicks,button_1.timesOn,button_1.timesOff,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及位置5.png,15,"(0, 0.05)",0,0,0,4,6.923990000039339,None,7.950157899991609,8.950995500024874,8.934312600002158,None,8.934312600002158,None,1,[1.3341354000149295],[1.334138799982611],8.934312600002158,None,0,,,,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置7.png,17,"(0, 0.07)",0,1,1,6,,,10.292652700038161,11.312741600035224,11.29601210000692,None,11.29601210000692,None,1,[1.3341354000149295],[1.334138799982611],11.29601210000692,None,1,[1.7426625000080094],[1.7426654000300914],,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置1.png,11,"(0, 0.01)",0,2,2,0,,,13.035145200032275,14.056587100028992,14.040038700040895,None,14.040038700040895,None,2,"[1.3341354000149295, 5.480828600004315]","[1.334138799982611, 5.480831500026397]",14.040038700040895,None,1,[1.7426625000080094],[1.7426654000300914],,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置6.png,16,"(0, 0.06)",0,3,3,5,,,19.521631200041156,20.543123400013428,20.52659359999234,None,20.52659359999234,None,2,"[1.3341354000149295, 5.480828600004315]","[1.334138799982611, 5.480831500026397]",20.52659359999234,None,1,[1.7426625000080094],[1.7426654000300914],,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置4.png,14,"(0, 0.04)",0,4,4,3,,,28.552855200017802,29.57359980000183,29.556814300012775,28.552855200017802,29.556814300012775,28.552855200017802,2,"[1.3341354000149295, 5.480828600004315]","[1.334138799982611, 5.480831500026397]",29.556814300012775,28.552855200017802,1,[1.7426625000080094],[1.7426654000300914],,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置9.png,19,"(0, 0.09)",0,5,5,8,,,37.58803030004492,38.59356160002062,38.576251599995885,37.58803030004492,38.576251599995885,37.58803030004492,2,"[1.3341354000149295, 5.480828600004315]","[1.334138799982611, 5.480831500026397]",38.576251599995885,37.58803030004492,2,"[1.7426625000080094, 5.270823700004257]","[1.7426654000300914, 5.2708267999696545]",,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置10.png,20,"(0, 0.1)",0,6,6,9,,,43.862664800020866,44.88418650004314,44.86756270000478,None,44.86756270000478,None,2,"[1.3341354000149295, 5.480828600004315]","[1.334138799982611, 5.480831500026397]",44.86756270000478,None,3,"[1.7426625000080094, 5.270823700004257, 0.6918247999856248]","[1.7426654000300914, 5.2708267999696545, 0.6918278000084683]",,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置8.png,18,"(0, 0.08)",0,7,7,7,,,45.56074550002813,46.58237140002893,46.56485070002964,None,46.56485070002964,None,2,"[1.3341354000149295, 5.480828600004315]","[1.334138799982611, 5.480831500026397]",46.56485070002964,None,4,"[1.7426625000080094, 5.270823700004257, 0.6918247999856248, 0.2561866999603808]","[1.7426654000300914, 5.2708267999696545, 0.6918278000084683, 0.2561897999839857]",,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置3.png,ddd,"(0, 0.03)",0,8,8,2,,,46.81935450003948,47.84169359999942,47.824360300030094,None,47.824360300030094,None,2,"[1.3341354000149295, 5.480828600004315]","[1.334138799982611, 5.480831500026397]",47.824360300030094,None,5,"[1.7426625000080094, 5.270823700004257, 0.6918247999856248, 0.2561866999603808, 0.5571128000156023]","[1.7426654000300914, 5.2708267999696545, 0.6918278000084683, 0.2561897999839857, 0.5571157999802381]",,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
Task samples\相同颜色及位置2.png,12,"(0, 0.02)",0,9,9,1,,,48.38301470002625,49.40460430004168,49.38702630001353,None,49.38702630001353,None,2,"[1.3341354000149295, 5.480828600004315]","[1.334138799982611, 5.480831500026397]",49.38702630001353,None,6,"[1.7426625000080094, 5.270823700004257, 0.6918247999856248, 0.2561866999603808, 0.5571128000156023, 1.8994585999753326]","[1.7426654000300914, 5.2708267999696545, 0.6918278000084683, 0.2561897999839857, 0.5571157999802381, 1.8994616999989375]",,001,2021_Jul_27_1421,Demo,2021.2.1,59.927284251664545,
